JD,Magnitude,Band
2457259.4965,10.9,Vis.
2457259.60972,11.3,Vis.
2457261.8,11.4,Vis.
2457263.64444,10.7,Vis.
2457264.25972,10.3,Vis.
2457264.3403,11.2,Vis.
2457265.366,11.1,Vis.
2457265.4021,10.7,Vis.
2457267.3806,10.3,Vis.
2457267.581,10.1,Vis.
2457268.3,10.8,Vis.
2457268.4,10.3,Vis.
2457268.68403,10.6,Vis.
2457269.5056,11,Vis.
2457269.8,10.3,Vis.
2457270.26458,9.4,Vis.
2457270.3819,11,Vis.
2457271.5139,10.9,Vis.
2457271.59,10,Vis.
2457272.4,10,Vis.
2457272.5,10.6,Vis.
2457272.6,10.2,Vis.
2457272.61875,9.9,Vis.
2457273.3361,10.1,Vis.
2457274.25069,9.1,Vis.
2457274.4049,10.3,Vis.
2457274.62,9.7,Vis.
2457275.31,9.1,Vis.
2457275.5292,10.2,Vis.
2457276.3813,9.5,Vis.
2457276.3958,9.6,Vis.
2457276.53542,9.7,Vis.
2457276.59,9.1,Vis.
2457277.24514,9,Vis.
2457277.3729,10.1,Vis.
2457277.4757,9.8,Vis.
2457277.69167,9.7,Vis.
2457278.351,9.6,Vis.
2457278.4,9.3,Vis.
2457278.5,9.8,Vis.
2457279.42847,9.6,Vis.
2457279.4659,9.6,Vis.
2457279.59931,9.5,Vis.
2457279.8,9.2,Vis.
2457280.578,9.5,Vis.
2457280.66875,9.5,Vis.
2457281.4,8.9,Vis.
2457281.6354,9,Vis.
2457282.3,9.8,Vis.
2457282.59,8.8,Vis.
2457283.24792,8.9,Vis.
2457283.3,10,Vis.
2457283.31389,8.3,Vis.
2457283.42639,9.2,Vis.
2457283.6083,9.2,Vis.
2457284.36,8.8,Vis.
2457284.4,8.9,Vis.
2457284.5222,9.5,Vis.
2457284.68819,9.3,Vis.
2457285.39514,8.8,Vis.
2457285.6,9.2,Vis.
2457286.6125,8.9,Vis.
2457286.627,9.2,Vis.
2457287.36042,8.9,Vis.
2457287.42153,9.2,Vis.
